Adj Close,Close,High,Low,Open,Volume
1455.219970703125,1455.219970703125,1478.0,1438.3599853515625,1469.25,931800000
1399.4200439453125,1399.4200439453125,1455.219970703125,1397.4300537109375,1455.219970703125,1009000000
1402.1099853515625,1402.1099853515625,1413.27001953125,1377.6800537109375,1399.4200439453125,1085500000
1403.449951171875,1403.449951171875,1411.9000244140625,1392.0999755859375,1402.1099853515625,1092300000
1441.469970703125,1441.469970703125,1441.469970703125,1400.72998046875,1403.449951171875,1225200000
1457.5999755859375,1457.5999755859375,1464.3599853515625,1441.469970703125,1441.469970703125,1064800000
1438.56005859375,1438.56005859375,1458.6600341796875,1434.4200439453125,1457.5999755859375,1014000000
1432.25,1432.25,1442.5999755859375,1427.0799560546875,1438.56005859375,974600000
1449.6800537109375,1449.6800537109375,1454.199951171875,1432.25,1432.25,1030400000
1465.1500244140625,1465.1500244140625,1473.0,1449.6800537109375,1449.6800537109375,1085900000
1455.1400146484375,1455.1400146484375,1465.1500244140625,1451.300048828125,1465.1500244140625,1056700000
1455.9000244140625,1455.9000244140625,1461.3900146484375,1448.6800537109375,1455.1400146484375,1087800000
1445.5699462890625,1445.5699462890625,1465.7099609375,1438.5400390625,1455.9000244140625,1100700000
1441.3599853515625,1441.3599853515625,1453.1800537109375,1439.5999755859375,1445.5699462890625,1209800000
1401.530029296875,1401.530029296875,1454.0899658203125,1395.4200439453125,1441.3599853515625,1115800000
1410.030029296875,1410.030029296875,1414.260009765625,1388.489990234375,1401.530029296875,1073700000
1404.0899658203125,1404.0899658203125,1412.72998046875,1400.1600341796875,1410.030029296875,1117300000
1398.56005859375,1398.56005859375,1418.8599853515625,1370.989990234375,1404.0899658203125,1129500000
1360.1600341796875,1360.1600341796875,1398.56005859375,1356.199951171875,1398.56005859375,1095800000
1394.4599609375,1394.4599609375,1394.47998046875,1350.1400146484375,1360.1600341796875,993800000
1409.280029296875,1409.280029296875,1412.489990234375,1384.7900390625,1394.4599609375,981000000
1409.1199951171875,1409.1199951171875,1420.6099853515625,1403.489990234375,1409.280029296875,1038600000
1424.969970703125,1424.969970703125,1425.780029296875,1398.52001953125,1409.1199951171875,1146500000
1424.3699951171875,1424.3699951171875,1435.9100341796875,1420.6300048828125,1424.969970703125,1045100000
